CT,ID
20.921,271_2_1
20.281,271_2_1
24.137,271_2_2
24.295,271_2_2
24.056,271_2_3
24.964,271_2_3
21.077,272_2_1
21.446,272_2_1
21.011,272_2_2
21.061,272_2_2
20.231,272_2_3
20.688,272_2_3
21.54,273_2_1
21.38,273_2_1
25.476,273_2_2
26.066,273_2_2
23.124,273_2_3
23.528,273_2_3
23.094,274_2_1
23.653,274_2_1
24.402,274_2_2
24.515,274_2_2
24.079,274_2_3
24.081,274_2_3
24.923,275_2_1
25.012,275_2_1
26.347,275_2_2
26.377,275_2_2
23.606,275_2_3
24.585,275_2_3
23.441,276_2_1
24.03,276_2_1
25.506,276_2_2
25.236,276_2_2
23.123,276_2_3
23.513,276_2_3
24.46,277_2_1
24.381,277_2_1
17.198,277_2_2
17.2,277_2_2
24.308,277_2_3
24.369,277_2_3
19.434,278_2_1
19.292,278_2_1
14.545,278_2_2
14.704,278_2_2
14.902,278_2_3
14.308,278_2_3
21.853,279_2_1
21.339,279_2_1
19.267,279_2_2
19.003,279_2_2
23.423,279_2_3
23.458,279_2_3
20.182,28_1_1
20.384,28_1_1
14.479,28_1_2
14.852,28_1_2
15.448,28_1_3
15.227,28_1_3
21.727,280_2_1
21.981,280_2_1
26.89,280_2_2
26.822,280_2_2
24.641,280_2_3
24.323,280_2_3
25.127,281_2_1
25.455,281_2_1
21.859,281_2_2
20.141,281_2_2
24.598,281_2_3
24.602,281_2_3
24.527,282_2_1
24.454,282_2_1
23.333,282_2_2
23.141,282_2_2
25.564,282_2_3
24.749,282_2_3
20.076,283_2_1
18.907,283_2_1
24.796,283_2_2
24.784,283_2_2
23.085,283_2_3
22.887,283_2_3
14.855,284_2_1
15.478,284_2_1
20.929,284_2_2
21.113,284_2_2
23.296,284_2_3
22.593,284_2_3
15.531,285_2_1
15.931,285_2_1
26.582,285_2_2
26.261,285_2_2
23.27,285_2_3
23.828,285_2_3
17.012,286_2_1
16.739,286_2_1
22.6,286_2_2
22.337,286_2_2
23.647,286_2_3
24.493,286_2_3
18.525,287_2_1
18.102,287_2_1
26.915,287_2_2
26.988,287_2_2
25.1,287_2_3
24.712,287_2_3
14.419,288_2_1
14.29,288_2_1
20.376,288_2_2
20.798,288_2_2
24.411,288_2_3
24.442,288_2_3
17.134,289_2_1
16.971,289_2_1
22.873,289_2_2
22.796,289_2_2
24.58,289_2_3
24.266,289_2_3
24.141,29_1_1
24.305,29_1_1
24.135,29_1_2
24.056,29_1_2
18.222,29_1_3
18.031,29_1_3
16.115,290_2_1
16.372,290_2_1
24.268,290_2_2
25.232,290_2_2
24.573,290_2_3
24.31,290_2_3
15.636,291_2_1
15.595,291_2_1
19.911,291_2_2
20.431,291_2_2
22.247,291_2_3
21.829,291_2_3
22.782,292_2_1
23.27,292_2_1
23.843,292_2_2
23.39,292_2_2
24.606,292_2_3
24.985,292_2_3
14.734,293_2_1
14.545,293_2_1
22.757,293_2_2
22.591,293_2_2
21.528,293_2_3
20.627,293_2_3
15.051,294_2_1
13.018,294_2_1
17.667,294_2_2
17.702,294_2_2
21.912,294_2_3
22.081,294_2_3
14.956,295_2_1
14.655,295_2_1
18.696,295_2_2
19.526,295_2_2
24.902,295_2_3
23.868,295_2_3
18.559,296_2_1
18.499,296_2_1
19.548,296_2_2
19.57,296_2_2
24.673,296_2_3
24.533,296_2_3
15.107,297_2_1
14.927,297_2_1
25.741,297_2_2
25.899,297_2_2
24.468,297_2_3
24.35,297_2_3
19.4,298_2_1
19.27,298_2_1
14.305,298_2_2
14.557,298_2_2
23.398,298_2_3
23.271,298_2_3
15.86,299_2_1
15.604,299_2_1
24.7,299_2_2
25.295,299_2_2
23.833,299_2_3
24.115,299_2_3
20.153,3_1_1
20.472,3_1_1
16.953,3_1_2
16.934,3_1_2
15.237,3_1_3
15.725,3_1_3
23.583,30_1_1
23.566,30_1_1
24.563,30_1_2
24.656,30_1_2
16.63,30_1_3
16.295,30_1_3
15.146,300_2_1
15.551,300_2_1
15.516,300_2_2
15.765,300_2_2
15.46,300_2_3
15.155,300_2_3
15.726,301_2_1
15.735,301_2_1
14.1,301_2_2
13.845,301_2_2
14.608,301_2_3
14.528,301_2_3
19.675,302_2_1
19.223,302_2_1
17.128,302_2_2
17.385,302_2_2
24.062,302_2_3
24.671,302_2_3
21.979,303_2_1
22.251,303_2_1
24.248,303_2_2
24.463,303_2_2
13.877,303_2_3
13.754,303_2_3
26.773,304_2_1
26.108,304_2_1
25.823,304_2_2
25.571,304_2_2
23.487,304_2_3
23.296,304_2_3
21.725,305_2_1
22.123,305_2_1
15.517,305_2_2
16.488,305_2_2
24.258,305_2_3
25.136,305_2_3
17.465,306_2_1
17.3,306_2_1
16.828,306_2_2
15.889,306_2_2
15.893,306_2_3
15.985,306_2_3
14.816,307_2_1
14.775,307_2_1
17.939,307_2_2
17.83,307_2_2
17.123,307_2_3
16.268,307_2_3
19.442,308_2_1
19.694,308_2_1
14.754,308_2_2
15.112,308_2_2
17.481,308_2_3
17.618,308_2_3
14.811,309_2_1
14.972,309_2_1
24.971,309_2_2
24.865,309_2_2
24.448,309_2_3
24.742,309_2_3
25.794,31_1_1
26.366,31_1_1
20.339,31_1_2
21.102,31_1_2
17.17,31_1_3
16.675,31_1_3
20.788,310_2_1
20.417,310_2_1
25.701,310_2_2
25.557,310_2_2
